rank	formulaRank	#adducts	#predictedFPs	ConfidenceScore	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	id
11	1	1	1	0.980079312290261	-16.11307240120685	0.9999999999999999	34.60583055303663	C14H20N2O3	[M + H]+	SFUVCMKSYKHYLD	InChI=1S/C14H20N2O3/c1-19-13-10-11(4-6-12(13)17)5-7-14(18)16-9-3-2-8-15/h4-7,10,17H,2-3,8-9,15H2,1H3,(H,16,18)	Subaphyllin	COC1=C(C=CC(=C1)C=CC(=O)NCCCCN)O	1.05422425	10384;5281796;92339985	HMDB:(33463 139553 139638);SuperNatural:(SN00156194 SN00277929);ZINC bio:(ZINC01531868 ZINC08652493);additional;MeSH:(5281796);PubMed;COCONUT:(CNP0104128 CNP0340982);KNApSAcK:(2780);Natural Products:(UNPD219882 UNPD160889);PubChem:(10384 5281796 92339985);CHEBI:(9299);PubChem class - bio and metabolites;KEGG:(C10497);PubChem class - safety and toxic;Training Set	87613822	265.1542	205.143	1394_6_Brassimet_Leaves_PAXs_34_Pos_720
12	1	1	1	0.978910931024757	-116.82336386923299	0.9999999999999999	130.12169892769435	C19H28O7	[M + H]+	VAXHELKDGGSASL	InChI=1S/C19H28O7/c1-19(2)7-12(21)6-11-5-10(3-4-13(11)19)9-25-18-17(24)16(23)15(22)14(8-20)26-18/h5-6,13-18,20,22-24H,3-4,7-9H2,1-2H3	null	CC1(CC(=O)C=C2C1CCC(=C2)COC3C(C(C(C(O3)CO)O)O)O)C	-0.5	44131813;44231510;101463170	COCONUT:(CNP0300335);Natural Products:(UNPD56357);PubChem:(44131813 44231510 101463170);SuperNatural:(SN00332227)	3178498	369.1905	311.617	1595_6_Brassimet_Leaves_PAXs_38_Pos_1867
13	2	1	2	0.9788329226159266	-6.545302067028337	0.9999999999999999	57.188283367605635	C18H38O10	[M + H3N + H]+	YZUUTMGDONTGTN	InChI=1S/C18H38O10/c19-1-3-21-5-7-23-9-11-25-13-15-27-17-18-28-16-14-26-12-10-24-8-6-22-4-2-20/h19-20H,1-18H2	Epitope ID:159256	C(COCCOCCOCCOCCOCCOCCOCCOCCO)O	-2.29999995	4867	NORMAN:(NS00010525);COCONUT:(CNP0284164);PubChem:(4867);CHEBI:(39784);Maconda:(CON00076);additional;PubChem class - bio and metabolites;PubChem class - safety and toxic;Training Set;PubMed;KEGG Mine	8676721762	432.2801	251.143	739_6_Brassimet_Leaves_PAXs_22_Pos_142
14	1	1	1	0.9595195448048821	-104.71336784930381	0.9999999999999999	61.15496778457166	C16H23NO5	[M + H]+	HUJXHFRXWWGYQH	InChI=1S/C16H23NO5/c1-17(2,3)8-9-22-15(18)7-6-12-10-13(20-4)16(19)14(11-12)21-5/h6-7,10-11H,8-9H2,1-5H3/p+1	Sinapine	C[N+](C)(C)CCOC(=O)C=CC1=CC(=C(C(=C1)OC)O)OC	1.79999995	89287;5280385;53493855;131750864	HMDB:(29379);SuperNatural:(SN00002254);ZINC bio:(ZINC01532786);additional;MeSH:(5280385 131750864);Plantcyc:(O-SINAPOYLCHOLINE);PubMed;COCONUT:(CNP0345063 CNP0416159);KNApSAcK:(2777);Natural Products:(UNPD188130);PubChem:(89287 5280385 53493855 131750864);CHEBI:(16353);PubChem class - bio and metabolites;KEGG:(C00933);Training Set;Biocyc:(O-SINAPOYLCHOLINE)	20638078	310.1652	221.381	2145_6_Brassimet_Leaves_PAXs_48_Pos_2768
15	1	1	1	0.9587279811417123	-65.29027552672547	0.9984924623115576	21.564986214169558	C30H36O18	[M + Na]+	ZFVPSEAVZVYYEB	InChI=1S/C30H36O18/c31-10-19-22(36)24(38)26(40)29(47-19)45-16-4-1-12(7-14(16)33)3-6-21(35)44-18(28(42)43)9-13-2-5-17(15(34)8-13)46-30-27(41)25(39)23(37)20(11-32)48-30/h1-8,18-20,22-27,29-34,36-41H,9-11H2,(H,42,43)	null	C1=CC(=C(C=C1CC(C(=O)O)OC(=O)C=CC2=CC(=C(C=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O)OC4C(C(C(C(O4)CO)O)O)O	-1.20000005	10508776;10032532;102278480;100948888	COCONUT:(CNP0237790);Natural Products:(UNPD64318);PubChem:(10508776 10032532 102278480 100948888);SuperNatural:(SN00332867)	3178498	707.1793	177.903	1736_6_Brassimet_Leaves_PAXs_40_Pos_2111
16	3	1	3	0.9482590221657312	-143.99466743650768	0.04673366834170854	44.923105699850616	C18H26N2O9	[M + Na]+	JMRJLJOBHHWYIV	InChI=1S/C18H26N2O9/c1-9(21)18(28,10(2)22)17(27)29-8-11-7-12(23)3-5-14(11)20-15(24)6-4-13(19)16(25)26/h3,5,7,9-10,13,21-23,28H,4,6,8,19H2,1-2H3,(H,20,24)(H,25,26)	null	CC(C(C(C)O)(C(=O)OCC1=C(C=CC(=C1)O)NC(=O)CCC(C(=O)O)N)O)O	-4.19999981	51136522;52316414;52316416;52316418;100854789;100892720	COCONUT:(CNP0349035);PubChem:(51136522 52316414 52316416 52316418 100854789 100892720);SuperNatural:(SN00039221 SN00039223 SN00039222);ZINC bio:(ZINC49181820 ZINC49181823 ZINC49181826);additional;Training Set	3694594	437.1552	170.495	1368_6_Brassimet_Leaves_PAXs_33_Pos_661
17	1	1	2	0.9457764228717387	-194.88689898155405	0.0949748743718593	28.980026657039375	C21H21N3O3	[M + H]+	FUBNLFDSTCWVKM	InChI=1S/C21H21N3O3/c25-20(18-9-13-5-1-2-6-14(13)11-23-18)24-19(21(26)27)10-15-12-22-17-8-4-3-7-16(15)17/h1-8,12,18-19,22-23H,9-11H2,(H,24,25)(H,26,27)	3-(1H-indol-3-yl)-2-(1,2,3,4-tetrahydroisoquinoline-3-carbonylamino)propanoic Acid	C1C(NCC2=CC=CC=C21)C(=O)NC(CC3=CNC4=CC=CC=C43)C(=O)O	2.54394937	4966583;7095382;7095383;53389993	COCONUT:(CNP0389243);PubChem:(4966583 7095382 7095383 53389993);PubMed;ZINC bio:(ZINC35485188)	2105410	364.1671	154.043	2417_6_Brassimet_Leaves_PAXs_53_Pos_3347
18	2	1	4	0.9432882803733678	-178.94641499317706	0.9999999999999999	65.76825678905006	C22H39NO11	[M + H]+	BUGZMDLMIRKFTB	InChI=1S/C22H39NO11/c1-10(2)6-7-29-18-17(32-21-19(18)33-22(4,5)34-21)12(26)9-30-20-14(23-11(3)25)16(28)15(27)13(8-24)31-20/h10,12-21,24,26-28H,6-9H2,1-5H3,(H,23,25)	N-[2-[2-[2,2-dimethyl-6-(3-methylbutoxy)-3a,5,6,6a-tetrahydrofuro[2,3-d][1,3]dioxol-5-yl]-2-hydroxyethoxy]-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl]acetamide	CC(C)CCOC1C2C(OC1C(COC3C(C(C(C(O3)CO)O)O)NC(=O)C)O)OC(O2)(C)C	-0.899999976	3734244;16397385;95370590;95370591	COCONUT:(CNP0336194);PubChem:(3734244 16397385 95370590 95370591);SuperNatural:(SN00107166 SN00107167);ZINC bio:(ZINC70670229 ZINC70670230)	3153922	494.2595	437.65	376_6_Brassimet_Leaves_PAXs_15_Pos_3974
19	1	1	1	0.940461150502937	-2.1450553708800615	0.9999999999999999	53.23792397753598	C11H14N2O3	[M + H]+	JBCLFWXMTIKCCB	InChI=1S/C11H14N2O3/c12-7-10(14)13-9(11(15)16)6-8-4-2-1-3-5-8/h1-5,9H,6-7,12H2,(H,13,14)(H,15,16)	Maybridge1_006768	C1=CC=C(C=C1)CC(C(=O)O)NC(=O)CN	-0.0296252836	1549344;92953;97415;182174;4690601;7092603;23278179;101708635	HMDB:(28848);SuperNatural:(SN00050545 SN00072136);ZINC bio:(ZINC01569529 ZINC04081371);additional;MeSH:(92953 97415 182174);PubMed;NORMAN:(NS00042948);COCONUT:(CNP0209372);Natural Products:(UNPD149159);PubChem:(1549344 92953 97415 182174 4690601 7092603 23278179 101708635);CHEBI:(73912 137014 133047);PubChem class - bio and metabolites;Training Set;Biocyc:(CPD-20345)	20768878	223.1077	140.731	1450_6_Brassimet_Leaves_PAXs_35_Pos_859
20	3	1	4	0.9389556248818661	-203.52702854699766	0.0135678391959799	41.272041768800065	C13H16N5O7P	[M + H]+	ODQWOSMBGNICLO	InChI=1S/C13H16N5O7P/c1-2-3-23-10-9(19)7(4-24-26(20,21)22)25-13(10)18-6-17-8-11(14)15-5-16-12(8)18/h1,5-7,9-10,13,19H,3-4H2,(H2,14,15,16)(H2,20,21,22)	null	C#CCOC1C(C(OC1N2C=NC3=C(N=CN=C32)N)COP(=O)(O)O)O	-1.73002982	137348360	PubChem:(137348360);PubChem class - bio and metabolites	16777218	386.0912	168.801	1014_6_Brassimet_Leaves_PAXs_27_Pos_5229
21	3	1	2	0.9081934725019215	-86.05661760177938	0.0020100502512562816	30.608364987727843	C20H28O13	[M + Na]+	VRHJKNOYDGRORA	InChI=1S/C20H28O13/c21-6-12(24)16(27)13(25)7-32-20-19(30)18(29)17(28)14(33-20)8-31-15(26)4-2-9-1-3-10(22)11(23)5-9/h1-5,12-14,16-25,27-30H,6-8H2	null	C1=CC(=C(C=C1C=CC(=O)OCC2C(C(C(C(O2)OCC(C(C(CO)O)O)O)O)O)O)O)O	-3.20000005	10005186;23815361	COCONUT:(CNP0230998);Natural Products:(UNPD156366);PubChem:(10005186 23815361);SuperNatural:(SN00032601 SN00032599 SN00032602 SN00394317 SN00032600);ZINC bio:(ZINC35454588 ZINC35454592 ZINC35454596 ZINC35454599)	3186690	499.1448	199.412	257_6_Brassimet_Leaves_PAXs_13_Pos_3840
22	1	1	1	0.9021167941839485	-231.44878064757248	0.9984924623115577	39.66611799481821	C22H28O13	[M + H]+	SJTJOEGGLHQPRG	InChI=1S/C22H28O13/c1-11(23)32-9-14(25)15(8-17(26)27)34-22-21(31)20(30)19(29)16(35-22)10-33-18(28)7-4-12-2-5-13(24)6-3-12/h2-7,14-16,19-22,24-25,29-31H,8-10H2,1H3,(H,26,27)	null	CC(=O)OCC(C(CC(=O)O)OC1C(C(C(C(O1)COC(=O)C=CC2=CC=C(C=C2)O)O)O)O)O	-1.5	102234280	COCONUT:(CNP0127971);Natural Products:(UNPD211470);PubChem:(102234280)	2129922	501.1604	307.599	2580_6_Brassimet_Leaves_PAXs_8_Pos_1017
23	1	1	1	0.8987084319098237	-36.92857267496934	0.9994974874371859	83.1344413581376	C15H17N3O5	[M + H]+	ZARXTZFGQZBYFO	InChI=1S/C15H17N3O5/c16-10(6-13(19)20)14(21)18-12(15(22)23)5-8-7-17-11-4-2-1-3-9(8)11/h1-4,7,10,12,17H,5-6,16H2,(H,18,21)(H,19,20)(H,22,23)	L-alpha-Asp-L-Trp	C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)NC(=O)C(CC(=O)O)N	-0.389898747	7020000;7020001;9948926;54537333	COCONUT:(CNP0330191);HMDB:(28764);PubChem:(7020000 7020001 9948926 54537333);CHEBI:(73831);additional;Training Set;PubMed	2637930	320.1242	206.16	1374_6_Brassimet_Leaves_PAXs_34_Pos_671
24	1	1	1	0.8970340310810816	-122.71005143534062	0.9999999999999999	59.26108062316941	C15H20N2O6	[M + H]+	SLOQSNHEHSCLGS	InChI=1S/C15H20N2O6/c1-7-3-9-10(4-8(7)2)17(15(23)14(22)16-9)5-11(19)13(21)12(20)6-18/h3-4,11-13,18-21H,5-6H2,1-2H3,(H,16,22)	1,2,3,4-Tetrahydroquinoxalin-2,3-dione, 1-ribityl-6,7-dimethyl-	CC1=CC2=C(C=C1C)N(C(=O)C(=O)N2)CC(C(C(CO)O)O)O	-1.20000005	605462;12997612	COCONUT:(CNP0236289);Natural Products:(UNPD108765 UNPD216725);PubChem:(605462 12997612)	2129922	325.1393	238.227	855_6_Brassimet_Leaves_PAXs_24_Pos_4823
25	3	1	3	0.8796971890853408	-117.48687401855193	0.0442211055276382	62.67407187414975	C12H16N5O6P	[M + H]+	SAPLCLKDPNOYRU	InChI=1S/C12H16N5O6P/c1-16(2)10-7-11(14-4-13-10)17(5-15-7)12-8(18)9-6(22-12)3-21-24(19,20)23-9/h4-6,8-9,12,18H,3H2,1-2H3,(H,19,20)	null	CN(C)C1=NC=NC2=C1N=CN2C3C(C4C(O3)COP(=O)(O4)O)O	-1.79999995	14803267	PubChem:(14803267);CHEBI:(84627)	34	358.0898	101.605	1205_6_Brassimet_Leaves_PAXs_30_Pos_578
26	1	1	1	0.8663802594127498	-244.26469501500307	0.9999999999999999	35.787125711399085	C22H28O13	[M + H]+	SJTJOEGGLHQPRG	InChI=1S/C22H28O13/c1-11(23)32-9-14(25)15(8-17(26)27)34-22-21(31)20(30)19(29)16(35-22)10-33-18(28)7-4-12-2-5-13(24)6-3-12/h2-7,14-16,19-22,24-25,29-31H,8-10H2,1H3,(H,26,27)	null	CC(=O)OCC(C(CC(=O)O)OC1C(C(C(C(O1)COC(=O)C=CC2=CC=C(C=C2)O)O)O)O)O	-1.5	102234280	COCONUT:(CNP0127971);Natural Products:(UNPD211470);PubChem:(102234280)	2129922	501.1605	286.307	811_6_Brassimet_Leaves_PAXs_23_Pos_4670
27	1	1	1	0.8429491213630409	-321.7648977353576	0.22964824120603014	69.9715936937951	C20H27N3O10S	[M + H]+	JVCNUEGHNWPYGP	InChI=1S/C20H27N3O10S/c1-33-14-6-10(2-4-13(14)25)18(29)15(8-24)34-9-12(19(30)22-7-17(27)28)23-16(26)5-3-11(21)20(31)32/h2,4,6,11-12,15,24-25H,3,5,7-9,21H2,1H3,(H,22,30)(H,23,26)(H,27,28)(H,31,32)	alpha-glutathionyl-beta-hydroxypropiovanillone I	COC1=C(C=CC(=C1)C(=O)C(CO)SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)O	-3.79999995	101482869;134820061;134820062;134820083;134820084	Plantcyc:(CPD-11866 CPD-11880);PubChem:(101482869 134820061 134820062 134820083 134820084);Biocyc:(CPD-11880 CPD-11866)	133122	502.1491	175.059	1211_6_Brassimet_Leaves_PAXs_30_Pos_5821
28	1	1	1	0.8320456582210811	-53.325991270599125	0.9999999999999999	98.28730075295441	C15H21NO7	[M + H]+	FAVRCIXPIVJIPN	InChI=1S/C15H21NO7/c17-7-11-12(18)13(19)15(22,23-11)8-16-10(14(20)21)6-9-4-2-1-3-5-9/h1-5,10-13,16-19,22H,6-8H2,(H,20,21)	null	C1=CC=C(C=C1)CC(C(=O)O)NCC2(C(C(C(O2)CO)O)O)O	-2.70000005	10471647;85152457;101039148	COCONUT:(CNP0288003);HMDB:(37846);PubChem:(10471647 85152457 101039148);CHEBI:(136561);PubChem class - bio and metabolites;Training Set	18890794	328.1395	87.579	1088_6_Brassimet_Leaves_PAXs_29_Pos_1487
29	3	1	2	0.8308122210676929	-202.9631107467927	0.0010050251256281408	61.39984840409409	C8H11N2O9P	[M + Na]+	UNCDCHFDSMPFJG	InChI=1S/C8H11N2O9P/c11-3-1-2-10(8(14)9-3)6-4(12)5(13)7(18-6)19-20(15,16)17/h1-2,4-7,12-13H,(H,9,11,14)(H2,15,16,17)	null	C1=CN(C(=O)NC1=O)C2C(C(C(O2)OP(=O)(O)O)O)O	-2.80325937	129118377	PubChem:(129118377);COCONUT:(CNP0099248)	2097154	333.0104	42.231	236_6_Brassimet_Leaves_PAXs_12_Pos_1336
