rank	formulaRank	#adducts	#predictedFPs	ConfidenceScore	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	id
179	1	1	1	0.3001930934549978	-206.2705572271773	5.025125628140704E-4	67.2868923428831	C8H13NO3S	[M + H]+	JFTGQZKJAXFLDQ	InChI=1S/C8H13NO3S/c1-6(10)5-8(12)13-4-3-9-7(2)11/h3-5H2,1-2H3,(H,9,11)	Acetoacetyl-S-N-acetyl cysteamine	CC(=O)CC(=O)SCCNC(=O)C	-0.200000003	90044;100925194	NORMAN:(NS00050380);PubChem:(90044 100925194);PubMed	262210	204.0653	405.079	263_1_Brassimet_Roots_Neg-POS_PAXs_13_p2261
180	1	1	2	N/A	-170.89833796919783	0.8979899497487439	40.789509665898066	C19H32O2S	[M + H]+	LPBLCSZDEFINEW	InChI=1S/C19H32O2S/c1-2-3-4-5-6-7-8-9-10-14-17-22(20,21)18-19-15-12-11-13-16-19/h11-13,15-16H,2-10,14,17-18H2,1H3	Sulfone, benzyl dodecyl	CCCCCCCCCCCCS(=O)(=O)CC1=CC=CC=C1	6.69999981	3052393	PubChem:(3052393);PubChem class - safety and toxic	67108866	325.219	446.103	336_1_Brassimet_Roots_Neg-POS_PAXs_14_p788
181	1	1	1	0.29977343193830663	-173.2437802067781	0.9999999999999999	77.20507746665771	C9H15NO4	[M + H]+	POHGHGLKBPAVNJ	InChI=1S/C9H15NO4/c1-2-3-8(12)10-5-6(11)4-7(10)9(13)14/h6-7,11H,2-5H2,1H3,(H,13,14)	trans-4-Hydroxy-1-(1-oxobutyl)-L-proline	CCCC(=O)N1CC(CC1C(=O)O)O	-0.300000012	11571978;11637026;28156058;28156060;28156062;61153546;68975087	PubChem:(11571978 11637026 28156058 28156060 28156062 61153546 68975087);NORMAN:(NS00038955)	262146	202.1075	111.35	575_1_Brassimet_Roots_Neg-POS_PAXs_19_p2541
182	2	1	1	0.2991936879520394	-342.95943204227933	0.1884422110552764	61.127526327455804	C21H21N3O3S	[M + H]+	AOFVDNFTELWRHV	InChI=1S/C21H21N3O3S/c25-19(24-27)8-4-5-13-28-21-22-18(14-20(26)23-21)17-11-9-16(10-12-17)15-6-2-1-3-7-15/h1-3,6-7,9-12,14,27H,4-5,8,13H2,(H,24,25)(H,22,23,26)	5-{[4-(Biphenyl-4-yl)-6-oxo-1,6-dihydropyrimidin-2-yl]sulfanyl}-N-hydroxypentanamide	C1=CC=C(C=C1)C2=CC=C(C=C2)C3=CC(=O)NC(=N3)SCCCCC(=O)NO	3.0	136173089	MeSH:(136173089);PubChem:(136173089);PubMed	70	396.1374	653.242	418_1_Brassimet_Roots_Neg-POS_PAXs_16_p1733
183	1	1	1	0.2985504279869845	-170.9377571609427	0.9517587939698493	64.56087574435614	C25H47NO6	[M + H]+	XRODLBXBYOICFZ	InChI=1S/C25H47NO6/c1-4-6-8-9-10-11-12-14-16-24(30)25(31)26-22(19-32-20(3)27)23(29)18-17-21(28)15-13-7-5-2/h17-18,21-24,28-30H,4-16,19H2,1-3H3,(H,26,31)	null	CCCCCCCCCCC(C(=O)NC(COC(=O)C)C(C=CC(CCCCC)O)O)O	5.30000019	101522006	COCONUT:(CNP0240609);Natural Products:(UNPD118998);PubChem:(101522006);SuperNatural:(SN00255163)	3178498	458.3476	1340.967	562_1_Brassimet_Roots_Neg-POS_PAXs_19_p2578
184	1	1	1	0.298232369694072	-273.5240919240194	0.0	61.8323611656539	C16H25N3O4	[M + K]+	QRSJDWYYORJNSO	InChI=1S/C16H25N3O4/c1-18-5-7-19(8-6-18)15(20)11-17-12-9-13(21-2)16(23-4)14(10-12)22-3/h9-10,17H,5-8,11H2,1-4H3	1-Methyl-4-(((3,4,5-trimethoxyphenyl)amino)acetyl)piperazine	CN1CCN(CC1)C(=O)CNC2=CC(=C(C(=C2)OC)OC)OC	1.20000005	3051910	PubChem:(3051910);PubChem class - safety and toxic	67108866	362.1508	855.804	508_1_Brassimet_Roots_Neg-POS_PAXs_18_p1920
185	2	1	1	0.29783826411252873	-301.0985591249618	0.2261306532663317	82.30917519445161	C15H22N5O7PS	[M + H]+	ROIFQUFJBJMXGF	InChI=1S/C15H22N5O7PS/c1-7(2)3-4-16-12-9-13(19-15(29)18-12)20(6-17-9)14-11(22)10(21)8(27-14)5-26-28(23,24)25/h3,6,8,10-11,14,21-22H,4-5H2,1-2H3,(H2,23,24,25)(H2,16,18,19,29)	2-thio-N(6)-dimethylallyl 5''-adenylic acid	CC(=CCNC1=C2C(=NC(=S)N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)C	-1.89999998	71627202	PubChem:(71627202);CHEBI:(74643)	34	448.1068	257.274	1058_1_Brassimet_Roots_Neg-POS_PAXs_7_p1450
186	1	1	3	N/A	-983.2140915122784	0.9296482412060302	32.43025140950321	C18H17NO10	[M + H]+	GPGWJDITQCQEAW	InChI=1S/C18H17NO10/c1-16(25)11-10(21)8-7(5-4-6(9(8)20)13(23)27-3)29-18(11)17(2,26)15(16)28-14(24)12(22)19-18/h4-5,11,15,20,25-26H,1-3H3,(H,19,22)	null	CC1(C2C(=O)C3=C(C=CC(=C3O)C(=O)OC)OC24C(C1OC(=O)C(=O)N4)(C)O)O	-0.200000003	139586667	COCONUT:(CNP0210888);Natural Products:(UNPD211041);PubChem:(139586667)	2129922	408.0932	212.387	953_1_Brassimet_Roots_Neg-POS_PAXs_5_p1296
187	1	1	1	0.29483546628066865	-278.5351705477178	0.9999999999999999	127.88376153476908	C11H12N2O3S	[M + H]+	SNBJRZPGEVQCNE	InChI=1S/C11H12N2O3S/c1-16-8-4-6(2-3-7(8)12)5-9-10(14)13-11(15)17-9/h2-4,9H,5,12H2,1H3,(H,13,14,15)	5-(4-Amino-3-methoxybenzyl)-2,4-thiazolidinedione	COC1=C(C=CC(=C1)CC2C(=O)NC(=O)S2)N	1.39999998	3070638	PubChem:(3070638);PubChem class - safety and toxic	67108866	253.0644	115.207	702_1_Brassimet_Roots_Neg-POS_PAXs_21_p889
188	1	1	1	0.29314019945374536	-99.09377001271535	0.9999999999999999	52.01514115691324	C10H7NOS	[M + H]+	DJWIXPPOXVIXSZ	InChI=1S/C10H7NOS/c12-6-10-11-9(7-13-10)8-4-2-1-3-5-8/h1-7H	Ambcb4301057	C1=CC=C(C=C1)C2=CSC(=N2)C=O	2.4000001	3538814	PubChem:(3538814);PubChem class - safety and toxic	67108866	190.032	445.601	325_1_Brassimet_Roots_Neg-POS_PAXs_14_p1075
189	1	1	1	0.29263629229698185	-198.42351019948023	0.0	56.73987622954977	C26H30O13	[M - H]-	IKWGNDOJHGXHQF	InChI=1S/C26H30O13/c1-35-24(34)15-11-37-25(39-26-23(33)22(32)21(31)17(9-27)38-26)19-13(8-16(29)20(15)19)10-36-18(30)7-4-12-2-5-14(28)6-3-12/h2-8,11,16-17,19-23,25-29,31-33H,9-10H2,1H3	null	COC(=O)C1=COC(C2C1C(C=C2COC(=O)C=CC3=CC=C(C=C3)O)O)OC4C(C(C(C(O4)CO)O)O)O	-1.10000002	15714687;101613416;102384363	COCONUT:(CNP0184565);Natural Products:(UNPD161735 UNPD48274 UNPD184097);Training Set;PubChem:(15714687 101613416 102384363);SuperNatural:(SN00227723 SN00258628 SN00387747)	3194882	549.162	267.22	83_1_Brassimet_Roots_Neg-POS_PAXs_1_n1062
190	1	1	3	N/A	-533.8240601072022	0.0065326633165829154	58.05289550081056	C17H22N6O5	[M + H]+	VKQAJTKFJIETGO	InChI=1S/C17H22N6O5/c1-19-17-20-8-5-7-10(21-16(18)23-14(7)26)6(11(8)22-17)3-4-9-12(24)13(25)15(27-2)28-9/h5,9,12-13,15,24-25H,3-4H2,1-2H3,(H2,19,20,22)(H3,18,21,23,26)	null	CNC1=NC2=C(N1)C=C3C(=C2CCC4C(C(C(O4)OC)O)O)N=C(NC3=O)N	-0.899999976	135566851;137160081	PubChem:(135566851 137160081);PubMed;PubChem class - bio and metabolites	16777282	391.1766	574.831	383_1_Brassimet_Roots_Neg-POS_PAXs_15_p2367
191	1	1	2	N/A	-345.65471366737063	0.05577889447236182	19.970866662156098	C14H18N2O3S	[M + H]+	UOSMCKQTFKCSDW	InChI=1S/C14H18N2O3S/c1-15-8-13(17)16-5-4-11(7-12(16)14(15)18)20-9-10-3-2-6-19-10/h2-3,6,11-12H,4-5,7-9H2,1H3	8-(furan-2-ylmethylsulfanyl)-2-methyl-3,6,7,8,9,9a-hexahydropyrido[1,2-a]pyrazine-1,4-dione	CN1CC(=O)N2CCC(CC2C1=O)SCC3=CC=CO3	0.899999976	4658228	COCONUT:(CNP0138036);PubChem:(4658228);SuperNatural:(SN00004316);ZINC bio:(ZINC03839862)	3153922	295.1131	291.515	1128_1_Brassimet_Roots_Neg-POS_PAXs_8_p1291
192	5	1	1	0.2903298723965342	-163.436498512459	0.0075376884422110576	91.8425661413463	C14H25N7O7	[M + Na]+	SEFVRKXJJPMVHQ	InChI=1S/C14H25N7O7/c15-5-9(22)20-7(2-1-3-18-14(16)17)12(26)19-6-10(23)21-8(13(27)28)4-11(24)25/h7-8H,1-6,15H2,(H,19,26)(H,20,22)(H,21,23)(H,24,25)(H,27,28)(H4,16,17,18)	Grgd peptide	C(CC(C(=O)NCC(=O)NC(CC(=O)O)C(=O)O)NC(=O)CN)CN=C(N)N	-6.5999999	126679;4464153;92223176;129364471;129364472	MeSH:(126679);PubChem:(126679 4464153 92223176 129364471 129364472);PubMed	70	426.1695	427.614	302_1_Brassimet_Roots_Neg-POS_PAXs_14_p1180
193	1	1	1	0.28994514755809003	-7.5997439421522825	0.9974874371859296	45.22253292432153	C24H50O13	[M + H3N + H]+	WRZXKWFJEFFURH	InChI=1S/C24H50O13/c25-1-3-27-5-7-29-9-11-31-13-15-33-17-19-35-21-23-37-24-22-36-20-18-34-16-14-32-12-10-30-8-6-28-4-2-26/h25-26H,1-24H2	AmbotzPEG1015	C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O	-2.79999995	81248	NORMAN:(NS00001006);COCONUT:(CNP0346661);PubChem:(81248);CHEBI:(39524);Maconda:(CON00060);PubChem class - bio and metabolites;PubChem class - safety and toxic;PubMed	86246498	564.3591	284.628	1113_1_Brassimet_Roots_Neg-POS_PAXs_8_p578
194	1	1	1	0.28984921216117404	-84.04376494954062	0.8618090452261309	120.66868108496742	C21H36O5	[M + H]+	FFPUNPBUZDTHJI	InChI=1S/C21H36O5/c1-19-7-5-13(23)9-12(19)3-4-14-15-6-8-21(26,17(25)11-22)20(15,2)10-16(24)18(14)19/h12-18,22-26H,3-11H2,1-2H3	b-cortol	CC12CCC(CC1CCC3C2C(CC4(C3CCC4(C(CO)O)O)C)O)O	2.0999999	246164;246873;440702;493994;6427109;12304025;20054820;20056456;20837813;22209909;21139751;24884031;50990587;56625412;76974634;90479551;99566488;99566489;99574810;99574811;102093797;124909972;124909974;124909976;124303614;131704706;131704879;131708413;134687856;134688040;139026043;138615965	HMDB:(3180 5821);SuperNatural:(SN00297949 SN00353703 SN00278146 SN00325890);ZINC bio:(ZINC04727169);additional;MeSH:(246873);PubMed;COCONUT:(CNP0380282);Natural Products:(UNPD18778 UNPD53243 UNPD22457 UNPD88947 UNPD41928);PubChem:(246164 246873 440702 493994 6427109 12304025 20054820 20056456 20837813 22209909 21139751 24884031 50990587 56625412 76974634 90479551 99566488 99566489 99574810 99574811 102093797 124909972 124909974 124909976 124303614 131704706 131704879 131708413 134687856 134688040 139026043 138615965);CHEBI:(89257 3898);PubChem class - bio and metabolites;KEGG:(C05482);Training Set;Biocyc:(CORTOL)	20506990	369.2634	881.483	520_1_Brassimet_Roots_Neg-POS_PAXs_18_p1512
195	1	1	2	0.28938513703490765	-491.00506590772414	0.02512562814070352	29.03358721014669	C22H25N9O5S2	[M + H]+	RSKAOLCYMWBZEL	InChI=1S/C22H25N9O5S2/c1-10-26-14(9-38-10)22(36)30-5-4-11(31-17(20(25)34)16(19(24)33)28-29-31)7-15(30)21(35)27-13(18(23)32)8-12-3-2-6-37-12/h2-3,6,9,11,13,15H,4-5,7-8H2,1H3,(H2,23,32)(H2,24,33)(H2,25,34)(H,27,35)	1-[2-[(1-amino-1-oxo-3-thiophen-2-ylpropan-2-yl)carbamoyl]-1-(2-methyl-1,3-thiazole-4-carbonyl)piperidin-4-yl]triazole-4,5-dicarboxamide	CC1=NC(=CS1)C(=O)N2CCC(CC2C(=O)NC(CC3=CC=CS3)C(=O)N)N4C(=C(N=N4)C(=O)N)C(=O)N	-0.5	4390006;11880086	PubChem:(4390006 11880086);COCONUT:(CNP0377429)	2097154	560.1522	663.676	431_1_Brassimet_Roots_Neg-POS_PAXs_16_p1740
196	5	1	3	0.2891886731790545	-222.11189194444827	0.003015075376884423	33.09461584832286	C27H36O17	[M + Na]+	FXWDCXWGZBCYRK	InChI=1S/C27H36O17/c1-11(28)41-24-21(35)17(10-38-18(32)6-4-12-3-5-13(29)16(7-12)37-2)42-27(24)43-23-20(34)15(31)9-40-26(23)44-25-22(36)19(33)14(30)8-39-25/h3-7,14-15,17,19-27,29-31,33-36H,8-10H2,1-2H3	O-(2-O-Acetyl-5-O-(feruloyl)-alpha-arabinofuranosyl)-(1-3)-O-beta-xylopyranosyl-(1-4)-xylopyranose	CC(=O)OC1C(C(OC1OC2C(C(COC2OC3C(C(C(CO3)O)O)O)O)O)COC(=O)C=CC4=CC(=C(C=C4)O)OC)O	-2.70000005	6444023	MeSH:(6444023);PubChem:(6444023);PubMed	70	655.1869	778.059	484_1_Brassimet_Roots_Neg-POS_PAXs_17_p1925
197	3	1	1	0.2889136279218666	-957.4294356261441	0.060804020100502516	54.9135680545229	C33H39N3O11	[M + K]+	DBNDMISIRSHNPJ	InChI=1S/C33H39N3O11/c1-18-9-24(38)21-11-20-12-29(32(2,46-26(20)13-27(21)45-18)6-3-19-10-30(41)35-14-19)47-44-16-28(40)33(43,31(42)25(39)15-37)17-36-8-5-22-23(36)4-7-34-22/h4-5,7-9,11,13,19,25,28-29,31,37,39-40,42-43H,3,6,10,12,14-17H2,1-2H3/p+1	null	CC1=CC(=O)C2=C(O1)C=C3C(=C2)CC(C(O3)(C)CCC4CC(=O)NC4)OOCC(C(C[N+]5=C6C=CN=C6C=C5)(C(C(CO)O)O)O)O	0.571810126	""	COCONUT:(CNP0261814);SuperNatural:(SN00173867)	3145728	692.2191	649.134	415_1_Brassimet_Roots_Neg-POS_PAXs_16_p1908
198	2	1	1	0.28439619088482226	-225.32054951881153	0.024623115577889446	31.836199852192753	C11H14N4O5S	[M + H]+	NHEYDIBIIVVJLP	InChI=1S/C11H14N4O5S/c16-1-4-6(17)7(18)8(19)11(20-4)21-10-5-9(13-2-12-5)14-3-15-10/h2-4,6-8,11,16-19H,1H2,(H,12,13,14,15)	6-Purinyl-beta-D-glucothiopyranoside	C1=NC2=C(N1)C(=NC=N2)SC3C(C(C(C(O3)CO)O)O)O	-1.20000005	1626906;3393301;6564914;40549456;40549457;44144843;124793402;124793403;124793404	PubChem:(1626906 3393301 6564914 40549456 40549457 44144843 124793402 124793403 124793404);MeSH:(44144843)	6	315.0756	141.902	724_1_Brassimet_Roots_Neg-POS_PAXs_21_p477
199	1	1	1	0.28401550087486754	-125.50754763773543	0.4899497487437186	19.015305293078892	C12H8N4O6S	[M - H]-	UQNAFPHGVPVTAL	InChI=1S/C12H8N4O6S/c13-23(21,22)8-3-1-2-5-9(8)7(16(19)20)4-6-10(5)15-12(18)11(17)14-6/h1-4H,(H,14,17)(H,15,18)(H2,13,21,22)	Tocris-1044	C1=CC2=C3C(=CC(=C2C(=C1)S(=O)(=O)N)[N+](=O)[O-])NC(=O)C(=O)N3	0.100000001	4577404;3272524;44281561	COCONUT;PubChem:(4577404 3272524 44281561);CHEBI:(31073);ZINC bio:(ZINC08585017);additional;PubChem class - bio and metabolites;MeSH:(3272524);KEGG:(C13667);PubChem class - safety and toxic;Training Set;PubMed	86532454	335.008	164.415	920_1_Brassimet_Roots_Neg-POS_PAXs_4_n127
200	2	1	1	0.2815994799647458	-3.2853248753020496	0.06180904522613065	21.700898321587694	C32H42O16	[M - H]-	ZJSJQWDXAYNLNS	InChI=1S/C32H42O16/c1-41-19-7-13(3-5-17(19)45-31-27(39)25(37)23(35)21(9-33)47-31)29-15-11-44-30(16(15)12-43-29)14-4-6-18(20(8-14)42-2)46-32-28(40)26(38)24(36)22(10-34)48-32/h3-8,15-16,21-40H,9-12H2,1-2H3	Pinoresinol diglucoside	COC1=C(C=CC(=C1)C2C3COC(C3CO2)C4=CC(=C(C=C4)OC5C(C(C(C(O5)CO)O)O)O)OC)OC6C(C(C(C(O6)CO)O)O)O	-1.29999995	174003;12087363;9852952;13991179;13991182;11972434;45359559;45482330;44202790;53393681;102277948;122173266;129607078;131707355;133556236;138107456;138114716	COCONUT:(CNP0242875);KNApSAcK:(31032);Natural Products:(UNPD210045 UNPD172451 UNPD158478 UNPD68707 UNPD73367);PubChem:(174003 12087363 9852952 13991179 13991182 11972434 45359559 45482330 44202790 53393681 102277948 122173266 129607078 131707355 133556236 138107456 138114716);SuperNatural:(SN00257919 SN00362647 SN00039739 SN00178009 SN00039741 SN00039742 SN00168107 SN00325688 SN00177800 SN00039740 SN00242000);CHEBI:(139420);ZINC bio:(ZINC67902919 ZINC67902922 ZINC67902924 ZINC67902929);additional;MeSH:(174003);Training Set;PubMed	3727478	681.2409	246.07	55_1_Brassimet_Roots_Neg-POS_PAXs_1_n348
201	1	1	1	0.28155643104704253	-165.03876641551642	0.9999999999999999	70.87276742949287	C20H18N2O2	[M + H]+	QUPRNMGEDWRDBX	InChI=1S/C20H18N2O2/c1-23-19-7-3-15(4-8-19)11-17(13-21)18(14-22)12-16-5-9-20(24-2)10-6-16/h3-11,18H,12H2,1-2H3	(3Z)-2-(4-methoxybenzyl)-3-(4-methoxybenzylidene)butanedinitrile	COC1=CC=C(C=C1)CC(C#N)C(=CC2=CC=C(C=C2)OC)C#N	3.70000005	10087245	COCONUT:(CNP0244169);Natural Products:(UNPD134719);PubChem:(10087245);CHEBI:(66631)	2129954	319.1445	586.669	389_1_Brassimet_Roots_Neg-POS_PAXs_15_p1079
202	1	1	1	0.2814986877586848	-142.17593864569685	0.9999999999999999	3095.9371263146527	C29H48O4	[M + Na]+	QJTPWAGDROFRFL	InChI=1S/C29H48O4/c1-17(2)9-8-13-28(6,33)18-10-11-19-25(18)20(30)15-22-27(5)14-12-23(31)26(3,4)21(27)16-24(32)29(19,22)7/h9,16,18-20,22-25,30-33H,8,10-15H2,1-7H3	null	CC(=CCCC(C)(C1CCC2C1C(CC3C2(C(C=C4C3(CCC(C4(C)C)O)C)O)C)O)O)C	5.2707696	""	COCONUT:(CNP0076590)	2097152	483.3463	1472.342	646_1_Brassimet_Roots_Neg-POS_PAXs_20_p467
203	1	1	1	0.28081093807538693	-417.33040494654574	0.9447236180904522	38.306945100336755	C20H25N3O9S	[M + H]+	CCOLVSNMPNHTMJ	InChI=1S/C20H25N3O9S/c1-31-15-5-3-11(7-16(15)32-2)14(24)10-33-9-13(19(28)22-8-18(26)27)23-17(25)6-4-12(21)20(29)30/h3,5,7,10,12-13H,4,6,8-9,21H2,1-2H3,(H3-,22,23,25,26,27,28,29,30)/p+1	null	COC1=C(C=C(C=C1)C(=O)C=[S+]CC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)OC	-3.4000001	135567005;135567006	PubChem:(135567005 135567006);PubChem class - bio and metabolites	16777218	484.1384	460.231	341_1_Brassimet_Roots_Neg-POS_PAXs_14_p676
204	1	1	1	0.2802465455496303	-140.13998679409193	0.033668341708542715	55.6938856235465	C20H17N3O2	[M + H]+	PLIACWIWRWIRLF	InChI=1S/C20H17N3O2/c1-14-8-10-16(11-9-14)22-20(25)17-6-2-3-7-18(17)23-19(24)15-5-4-12-21-13-15/h2-13H,1H3,(H,22,25)(H,23,24)	Oprea1_249412	CC1=CC=C(C=C1)NC(=O)C2=CC=CC=C2NC(=O)C3=CN=CC=C3	3.53839517	761932	PubChem:(761932);PubMed;CHEBI:(106066)	98	332.1392	474.64	350_1_Brassimet_Roots_Neg-POS_PAXs_15_p1953
205	1	1	2	N/A	-643.0701622412006	0.13266331658291458	38.06472995842658	C18H17N5O7	[M + H]+	BWOOWWUOZLDFNY	InChI=1S/C18H17N5O7/c24-17(13-9-15(22(26)27)11-16(10-13)23(28)29)20-19-14-3-1-12(2-4-14)18(25)21-5-7-30-8-6-21/h1-4,9-11,19H,5-8H2,(H,20,24)	N''-[4-(morpholine-4-carbonyl)phenyl]-3,5-dinitrobenzohydrazide	C1COCCN1C(=O)C2=CC=C(C=C2)NNC(=O)C3=CC(=CC(=C3)[N+](=O)[O-])[N+](=O)[O-]	1.79999995	5747329	PubChem:(5747329);PubChem class - safety and toxic	67108866	416.119	62.828	983_1_Brassimet_Roots_Neg-POS_PAXs_5_p1358
206	1	1	1	0.27776361469360233	-40.87903134928812	0.9678391959798994	41.26013670117809	C23H48O6	[M + H3N + H]+	NZYUESLSENMHNJ	InChI=1S/C23H48O6/c1-3-4-5-6-7-8-9-10-11-12-13-25-16-17-27-20-21-29-23-22-28-19-18-26-15-14-24-2/h3-23H2,1-2H3	null	CCCCCCCCCCCCOCCOCCOCCOCCOCCOC	4.9000001	132990864	PubChem:(132990864);PubChem class - bio and metabolites	16777218	438.3789	1403.126	576_1_Brassimet_Roots_Neg-POS_PAXs_19_p623
207	2	1	2	0.2769794252627688	-83.8105199812256	0.5613065326633165	32.970318875002064	C18H24O12	[M - H]-	QDXPYWCJJZAQEN	InChI=1S/C18H24O12/c19-6-18(26)7-28-17(14(18)24)27-5-10-11(21)12(22)13(23)16(29-10)30-15(25)8-1-3-9(20)4-2-8/h1-4,10-14,16-17,19-24,26H,5-7H2	null	C1C(C(C(O1)OCC2C(C(C(C(O2)OC(=O)C3=CC=C(C=C3)O)O)O)O)O)(CO)O	-2.5	10836469;85284146	COCONUT:(CNP0322062);HMDB:(35318);Natural Products:(UNPD64292);PubChem:(10836469 85284146);SuperNatural:(SN00323141);PubChem class - bio and metabolites	19955722	431.1197	208.549	28_1_Brassimet_Roots_Neg-POS_PAXs_0_n152
208	1	1	2	0.27597973198157105	-281.7719915308989	0.9402010050251258	85.84924006141982	C26H35NO11	[M + H]+	BTFMYVDAWDKTHJ	InChI=1S/C26H35NO11/c1-4-13-15(8-17-14-9-19(35-3)18(34-2)7-12(14)5-6-27-17)16(24(32)33)11-36-25(13)38-26-23(31)22(30)21(29)20(10-28)37-26/h4,7,9,11,13,15,17,20-23,25-31H,1,5-6,8,10H2,2-3H3,(H,32,33)	null	COC1=C(C=C2C(NCCC2=C1)CC3C(C(OC=C3C(=O)O)OC4C(C(C(C(O4)CO)O)O)O)C=C)OC	-2.20000005	101718133	COCONUT:(CNP0342414);Natural Products:(UNPD9693);PubChem:(101718133);SuperNatural:(SN00280415)	3178498	538.2284	327.936	135_1_Brassimet_Roots_Neg-POS_PAXs_10_p1578
209	1	1	1	0.27572306157766396	-269.8774632900533	0.7336683417085428	91.66254725854455	C17H28N2O5	[M + H]+	ZJRWMAJODFHMCM	InChI=1S/C17H28N2O5/c20-15(19-11-1-2-11)8-12-7-13-17(23-12)16(21)14(24-13)9-18-10-3-5-22-6-4-10/h10-14,16-18,21H,1-9H2,(H,19,20)	null	C1CC1NC(=O)CC2CC3C(O2)C(C(O3)CNC4CCOCC4)O	-0.699999988	129602567	PubChem:(129602567);COCONUT:(CNP0005781)	2097154	341.206	521.169	365_1_Brassimet_Roots_Neg-POS_PAXs_15_p2659
210	1	1	1	0.2750362834224059	-202.67738154032335	0.9999999999999999	47.523266843819115	C18H25N3O2	[M + H]+	HWBMOELHTRGVEP	InChI=1S/C18H25N3O2/c22-17-7-3-1-5-15(17)13-20-11-9-19-10-12-21-14-16-6-2-4-8-18(16)23/h1-8,19-23H,9-14H2	ACMC-20lvci	C1=CC=C(C(=C1)CNCCNCCNCC2=CC=CC=C2O)O	2.29999995	15493880	COCONUT:(CNP0024910);PubChem:(15493880);SuperNatural:(SN00135356);ZINC bio:(ZINC34572331)	3153922	316.2023	252.447	1047_1_Brassimet_Roots_Neg-POS_PAXs_7_p572
211	3	1	3	N/A	-541.2335762127892	0.10502512562814072	37.08312766184382	C14H21NO6S	[M + H]+	ISVSNHFQVMFWSI	InChI=1S/C14H21NO6S/c1-3-11(13(16)17)12(14(18)19)8-15-22(20,21)10-6-4-9(2)5-7-10/h4-6,10-12,15H,3,7-8H2,1-2H3,(H,16,17)(H,18,19)	(2S,3S)-2-ethyl-3-[[[(1R)-4-methylcyclohexa-2,4-dien-1-yl]sulfonylamino]methyl]butanedioic acid	CCC(C(CNS(=O)(=O)C1CC=C(C=C1)C)C(=O)O)C(=O)O	0.699999988	5497028	PubChem:(5497028);PubChem class - bio and metabolites	16777218	332.113	321.802	117_1_Brassimet_Roots_Neg-POS_PAXs_10_p1028
212	2	1	1	0.27331611436184494	-371.4741712741982	0.3562814070351759	71.92853434186513	C19H17NO10	[M + H]+	DCPDXJNRIIGWAX	InChI=1S/C19H17NO10/c21-13(9-1-5-11(6-2-9)20(27)28)10-3-7-12(8-4-10)29-19-16(24)14(22)15(23)17(30-19)18(25)26/h1-8,14-17,19,22-24H,(H,25,26)	beta-D-Glucopyranosiduronic acid, 4-(4-nitrobenzoyl)phenyl	C1=CC(=CC=C1C(=O)C2=CC=C(C=C2)OC3C(C(C(C(O3)C(=O)O)O)O)O)[N+](=O)[O-]	1.20000005	3073183	PubChem:(3073183);PubChem class - safety and toxic	67108866	420.0928	303.601	1159_1_Brassimet_Roots_Neg-POS_PAXs_9_p2776
213	1	1	2	N/A	-658.235577375445	0.7959798994974874	59.46501490806551	C25H27N3O8	[M + H]+	JBTVCUFIFDMUCK	InChI=1S/C25H27N3O8/c1-34-16-3-4-20-15(9-16)10-19(25(33)26-20)18(12-22(31)35-2)24-23(32)21(30)11-17(36-24)13-27-5-7-28(14-29)8-6-27/h3-4,9-11,14,18,32H,5-8,12-13H2,1-2H3,(H,26,33)	null	COC1=CC2=C(C=C1)NC(=O)C(=C2)C(CC(=O)OC)C3=C(C(=O)C=C(O3)CN4CCN(CC4)C=O)O	0.100000001	125429048;125429049;129895332	PubChem:(125429048 125429049 129895332);COCONUT:(CNP0365896)	2097154	498.1876	819.053	504_1_Brassimet_Roots_Neg-POS_PAXs_18_p3680
214	1	1	1	0.2691318055588003	-34.955549291190685	0.9999999999999999	51.67638592157968	C9H4O5	[M + H]+	SRPWOOOHEPICQU	InChI=1S/C9H4O5/c10-7(11)4-1-2-5-6(3-4)9(13)14-8(5)12/h1-3H,(H,10,11)	Epitope ID:113235	C1=CC2=C(C=C1C(=O)O)C(=O)OC2=O	0.800000012	11089	NORMAN:(NS00006728);PubChem class - food;PubChem:(11089);CHEBI:(53050);additional;HSDB:(552-30-7);MeSH:(11089);PubChem class - safety and toxic;Training Set;PubMed	202130022	193.0131	194.835	817_1_Brassimet_Roots_Neg-POS_PAXs_23_p2534
